cbsa_code,cbsa_title,cbsa_short,tot_units,tot_pop,units_pcap,h_1990,h_2000,h_2010,h_2020,h_change
35380,"New Orleans-Metairie, LA",New Orleans,183794,51580885,0.00356321920416836,0.6628696698254593,0.6565939696536136,0.6013146730498432,0.5479660123152804,-0.11490365751017884
35620,"New York-Newark-Jersey City, NY-NJ-PA",New York,1820506,743879407,0.00244731334523957,0.7289671616797464,0.7115916051903808,0.6738610416883608,0.6223989777856768,-0.10656818389406963
35660,"Niles-Benton Harbor, MI",Niles,16686,6418071,0.00259984658941915,0.6945374106676334,0.6660234638072449,0.634320388292488,0.6222624069447128,-0.07227500372292062
35840,"North Port-Sarasota-Bradenton, FL",North Port,267224,23737826,0.0112573072192879,0.722230526319982,0.6236304996950448,0.5102812692736336,0.4405978851482651,-0.2816326411717169
35980,"Norwich-New London, CT",Norwich,34852,10420516,0.00334455606612954,0.3167076295912893,0.3496000940059806,0.3395893033143922,0.340286022223255,0.0235783926319657
36260,"Ogden-Clearfield, UT",Ogden,126988,19685873,0.00645071722244677,0.3529062988250823,0.3104924993833198,0.2812675536331374,0.2577711026441865,-0.09513519618089578
36420,"Oklahoma City, OK",Oklahoma City,248737,44880166,0.00554224777154344,0.5373510345778825,0.4888949983196689,0.43688703441459226,0.378517423561542,-0.15883361101634047
36500,"Olympia-Tumwater, WA",Olympia,65012,8226192,0.00790304918727887,0.24227984029952457,0.2279293953130025,0.22170310393515583,0.22435099181346368,-0.01792884848606088
36540,"Omaha-Council Bluffs, NE-IA",Omaha,170470,31101467,0.00548109193691731,0.5836556134678984,0.5529093354850664,0.5031332316168016,0.4523480753931056,-0.13130753807479278
36740,"Orlando-Kissimmee-Sanford, FL",Orlando,798794,66746420,0.01196759316829277,0.5882328438043855,0.4890937469558329,0.44212074441207777,0.39402955753860647,-0.19420328626577896
37100,"Oxnard-Thousand Oaks-Ventura, CA",Oxnard,102174,29298040,0.00348740052235576,0.2962685468923192,0.3112099631836416,0.29732871074034734,0.288674854981461,-0.00759369191085818
37340,"Palm Bay-Melbourne-Titusville, FL",Palm Bay,174411,18570792,0.00939168345647293,0.5501712471633388,0.4479463038385004,0.3771105945353179,0.33423947679556815,-0.2159317703677706
37460,"Panama City, FL",Panama City,69215,6429296,0.01076556437905487,0.5959972026049432,0.4960459174837248,0.43341398292730954,0.3838119439781326,-0.21218525862681056
